Product_name,price,rating
"Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage)","8,999","9,155"
"Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 128GB Storage)","16,499","125,495"
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","5,999","7,752"
"Samsung Galaxy M21 (Midnight Blue, 4GB RAM, 64GB Storage)","13,999","84,579"
"Samsung Galaxy M01 (Blue, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","7,499","8,814"
"Redmi 9A (Nature Green, 2GB Ram, 32GB Storage)","6,999","11,339"
"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free | Upto 6 Months No Cost EMI","12,999","28,810"
"Redmi 9A (Midnight Black, 3GB Ram, 32GB Storage)","7,499","11,339"
"Samsung Galaxy M31 Prime Edition (Space Black, 6GB RAM, 128GB Storage)","16,499","125,495"
"Redmi Note 9 (Pebble Grey, 4GB RAM 64GB Storage) - 48MP Quad Camera & Full HD+ Display","11,999","24,247"
