title,year
Rang De Basanti,(2006)
3 Idiots,(2009)
Taare Zameen Par,(2007)
Dil Chahta Hai,(2001)
"Swades: We, the People",(2004)
Lagaan: Once Upon a Time in India,(2001)
Gangs of Wasseypur,(2012)
Barfi!,(2012)
Anand,(1971)
Munna Bhai M.B.B.S.,(2003)
A Wednesday,(2008)
Andaz Apna Apna,(1994)
Sholay,(1975)
Bhaag Milkha Bhaag,(2013)
Hera Pheri,(2000)
Udaan,(2010)
Kahaani,(2012)
Black,(2005)
Chak De! India,(2007)
Khosla Ka Ghosla!,(2006)
Jo Jeeta Wohi Sikandar,(1992)
Zindagi Na Milegi Dobara,(2011)
Paan Singh Tomar,(2012)
Dilwale Dulhania Le Jayenge,(1995)
Omkara,(2006)
Lage Raho Munna Bhai,(2006)
Iqbal,(2005)
The Lunchbox,(2013)
Black Friday,(2004)
Company,(2002)
Gol Maal,(1979)
Dev.D,(2009)
Jaane Bhi Do Yaaro,(1983)
OMG: Oh My God!,(2012)
Mughal-E-Azam,(1960)
Gulaal,(2009)
Dor,(2006)
Jab We Met,(2007)
Pyaasa,(1957)
The Legend of Bhagat Singh,(2002)
Masoom,(1983)
Salaam Bombay!,(1988)
Satya,(1998)
Vicky Donor,(2012)
Lakshya,(2004)
Vaastav: The Reality,(1999)
Kal Ho Naa Ho,(2003)
Oye Lucky! Lucky Oye!,(2008)
Sarfarosh,(1999)
Gangaajal,(2003)
Angoor,(1982)
Madras Cafe,(2013)
English Vinglish,(2012)
Chupke Chupke,(1975)
Johnny Gaddaar,(2007)
Maqbool,(2003)
Hazaaron Khwaishein Aisi,(2003)
Rock On!!,(2008)
Don,(1978)
Chhoti Si Baat,(1976)
Guide,(1965)
Raanjhanaa,(2013)
Deewaar,(1975)
Special Chabbis,(2013)
Padosan,(1968)
Mumbai Meri Jaan,(2008)
Ab Tak Chhappan,(2004)
Kai po che!,(2013)
Awaara,(1951)
Shree 420,(1955)
Earth,(1998)
Gunda,(1998)
Parinda,(1989)
Dasvidaniya,(2008)
Hey Ram,(2000)
Pinjar: Beyond Boundaries...,(2003)
Socha Na Tha,(2005)
Guru,(2007)
Bawarchi,(1972)
Manorama: Six Feet Under,(2007)
Mr. India,(1987)
Aamir,(2008)
Zakhm,(1998)
Water,(I) (2005)
Stanley Ka Dabba,(2011)
Agneepath,(1990)
My Name Is Khan,(2010)
Qayamat Se Qayamat Tak,(1988)
3 Deewarein,(2003)
Abhimaan,(1973)
Sarkar,(2005)
Bheja Fry,(2007)
Mother India,(1957)
Jaane Tu... Ya Jaane Na,(2008)
Delhi Belly,(2011)
Wake Up Sid,(2009)
Rangeela,(1995)
Shatranj Ke Khilari,(1977)
Pyaar Ka Punchnama,(2011)
Ek Hasina Thi,(2004)
