title,match,points,rating
"<td class=""table-body__cell u-center-text"">52</td>",52,"6,102",117
"<td class=""table-body__cell u-center-text"">6,102</td>",32,"3,716",116
"<td class=""table-body__cell u-center-text"">32</td>",39,"4,344",111
"<td class=""table-body__cell u-center-text"">3,716</td>",31,"3,345",108
"<td class=""table-body__cell u-center-text"">39</td>",35,"3,490",100
"<td class=""table-body__cell u-center-text"">4,344</td>",34,"2,989",88
"<td class=""table-body__cell u-center-text"">31</td>",39,"3,297",85
"<td class=""table-body__cell u-center-text"">3,345</td>",43,"3,285",76
"<td class=""table-body__cell u-center-text"">35</td>",28,"1,549",55
"<td class=""table-body__cell u-center-text"">3,490</td>",24,"1,256",52
